,user_id,user_created_at,device,sex,home_pg,search_pg,payment_pg,confirmation_pg
15089,639065,2015-01-01,Mobile,Female,1,1,1,1
20263,516634,2015-01-01,Mobile,Male,1,1,1,1
32379,452833,2015-01-01,Mobile,Female,1,1,1,1
42398,659295,2015-01-01,Mobile,Male,1,1,1,1
65251,546407,2015-01-01,Mobile,Female,1,1,1,1
79614,452331,2015-01-01,Desktop,Male,1,1,1,1
21012,93580,2015-01-02,Desktop,Female,1,1,1,1
21465,200120,2015-01-02,Mobile,Male,1,1,1,1
33768,194396,2015-01-02,Mobile,Male,1,1,1,1
36604,66727,2015-01-02,Mobile,Female,1,1,1,1
37586,295654,2015-01-02,Mobile,Male,1,1,1,1
2915,768271,2015-01-03,Mobile,Female,1,1,1,1
5294,743798,2015-01-03,Mobile,Male,1,1,1,1
5729,47353,2015-01-03,Desktop,Male,1,1,1,1
12010,146837,2015-01-03,Mobile,Male,1,1,1,1
27464,400941,2015-01-03,Desktop,Male,1,1,1,1
50551,44679,2015-01-03,Desktop,Female,1,1,1,1
82151,28088,2015-01-03,Mobile,Female,1,1,1,1
8015,869691,2015-01-04,Mobile,Male,1,1,1,1
21583,486505,2015-01-04,Mobile,Female,1,1,1,1
46885,729089,2015-01-04,Mobile,Male,1,1,1,1
51329,317940,2015-01-04,Mobile,Male,1,1,1,1
61688,120040,2015-01-04,Mobile,Male,1,1,1,1
65626,274124,2015-01-04,Mobile,Male,1,1,1,1
80433,689159,2015-01-04,Desktop,Female,1,1,1,1
885,924781,2015-01-05,Desktop,Female,1,1,1,1
14988,987427,2015-01-05,Desktop,Female,1,1,1,1
16631,166752,2015-01-05,Mobile,Female,1,1,1,1
16676,854327,2015-01-05,Desktop,Male,1,1,1,1
24680,362798,2015-01-05,Mobile,Male,1,1,1,1
24681,157202,2015-01-05,Mobile,Male,1,1,1,1
42284,312862,2015-01-05,Mobile,Male,1,1,1,1
53280,121010,2015-01-05,Mobile,Female,1,1,1,1
60829,717640,2015-01-05,Mobile,Female,1,1,1,1
64182,29666,2015-01-05,Mobile,Male,1,1,1,1
71116,248448,2015-01-05,Mobile,Female,1,1,1,1
10967,331300,2015-01-06,Mobile,Female,1,1,1,1
11484,119201,2015-01-06,Mobile,Female,1,1,1,1
21735,649539,2015-01-06,Mobile,Female,1,1,1,1
26250,452610,2015-01-06,Mobile,Female,1,1,1,1
26887,436153,2015-01-06,Mobile,Male,1,1,1,1
38221,892101,2015-01-06,Desktop,Male,1,1,1,1
43690,582870,2015-01-06,Mobile,Male,1,1,1,1
55269,516381,2015-01-06,Mobile,Female,1,1,1,1
82952,187969,2015-01-06,Mobile,Female,1,1,1,1
37376,129954,2015-01-07,Mobile,Female,1,1,1,1
37691,201722,2015-01-07,Desktop,Male,1,1,1,1
46009,911540,2015-01-07,Mobile,Female,1,1,1,1
58581,663718,2015-01-07,Desktop,Male,1,1,1,1
